z,z^7
z^2,z^6
z^2+z+1,z^7+z^5+z^4+z^2+z
z^3,z^5
z^3+z+1,z^7+z^6+z^5+z^2+1
z^3+z^2+1,z^7+z^6+z^5+z^3+1
z^3+z^2+z,z^6+z^4+z^3+z+1
z^4,z^4
z^4+z+1,z^7+z^6+z^2
z^4+z^2+1,z^6+z^4+1
z^4+z^2+z,z^7+z^6+z^5+z^4+z
z^4+z^3+1,z^6+z^5+z^2
z^4+z^3+z,z^7+z^6+z^5+z^4+z^2
z^4+z^3+z^2,z^7+z^5+z^3+z^2+1
z^4+z^3+z^2+z+1,z^6+z^3+z
z^5+z+1,z^5+z+1
z^5+z^2+1,z^5+z^4+z^3+z^2+z
z^5+z^2+z,z^6+z^5+z
z^5+z^3+1,z^7+z^6+z^2+z+1
z^5+z^3+z,z^7+z^5+z^3
z^5+z^3+z^2,z^6+z^5+z^4+z^3+1
z^5+z^3+z^2+z+1,z^6+z^5+1
z^5+z^4+1,z^6+z^3+z^2
z^5+z^4+z,z^5+z^4+z
z^5+z^4+z^2,z^6+z^5+z^4+z^3+z
z^5+z^4+z^2+z+1,z^6+z^5+z^4+z+1
z^5+z^4+z^3,z^7+z^6+z^4+z^2+z
z^5+z^4+z^3+z+1,z^7+z^6+z^5+z^3+z^2
z^5+z^4+z^3+z^2+1,z^6+z^5+z^3
z^6+z+1,z^7+z^5+z^2+z+1
z^6+z^2+1,z^6+z^2+1
z^6+z^2+z,z^7+z^4+1
z^6+z^3+1,z^7+z^6+z^5+z^4+z^3
z^6+z^3+z^2+z+1,z^7+z^5+1
z^6+z^4+z,z^7+z^6+z^5+z+1
z^6+z^4+z^2,z^6+z^4+z^2
z^6+z^4+z^2+z+1,z^7+z^6+z^4+z^2+1
z^6+z^4+z^3,z^7+z^5+z^4+z^3+z^2
z^6+z^4+z^3+z^2+1,z^6+z^5+z^4+z^2+1
z^6+z^4+z^3+z^2+z,z^7+z^5+z^4
z^6+z^5+z^2+z+1,z^6+z^5+z^2+z+1
z^6+z^5+z^3+z+1,z^6+z^5+z^4
z^6+z^5+z^3+z^2+1,z^7+z+1
z^6+z^5+z^3+z^2+z,z^7+z^5+z^4+z^3+1
z^6+z^5+z^4+z^2+z,z^6+z^5+z^4+z^2+z
z^6+z^5+z^4+z^3+z^2,z^7+z^4+z
z^6+z^5+z^4+z^3+z^2+z+1,z^7+z^6+z^5+z^4+z^3+z^2+1
z^7+z^2+1,z^7+z^6+z^3+z+1
z^7+z^2+z,z^7+z^6+z^4+z+1
z^7+z^3+1,z^7+z^3+1
z^7+z^3+z,z^7+z^5+z
z^7+z^3+z^2,z^7+z^6+z^3
z^7+z^3+z^2+z+1,z^7+z^4+z^2
z^7+z^4+z^2+z+1,z^7+z^6+z
z^7+z^4+z^3,z^7+z^4+z^3
z^7+z^4+z^3+z+1,z^7+z^6+z^5+z^2+z
z^7+z^4+z^3+z^2+1,z^7+z^6+z^4+z^3+1
z^7+z^4+z^3+z^2+z,z^7+z^6+z^4
z^7+z^5+z^2,z^7+z^6+z^5+z^4+1
z^7+z^5+z^3+z+1,z^7+z^5+z^3+z+1
z^7+z^5+z^3+z^2+z,z^7+z^6+z^5+z^3+z
z^7+z^5+z^4+z+1,z^7+z^6+z^3+z^2+z
z^7+z^5+z^4+z^2+1,z^7+z^6+z^5
z^7+z^5+z^4+z^3+z,z^7+z^5+z^4+z^3+z
z^7+z^5+z^4+z^3+z^2+z+1,z^7+z^6+z^5+z^4+z^3+z+1
z^7+z^6+1,z^7+z^6+z^4+z^3+z
z^7+z^6+z^3+z^2+1,z^7+z^6+z^3+z^2+1
z^7+z^6+z^4+z^3+z^2,z^7+z^6+z^4+z^3+z^2
z^7+z^6+z^4+z^3+z^2+z+1,z^7+z^6+z^5+z^4+z^2+z+1
z^7+z^6+z^5+z^3+z^2+z+1,z^7+z^6+z^5+z^3+z^2+z+1
z^7+z^6+z^5+z^4+z^3+z^2+z,z^7+z^6+z^5+z^4+z^3+z^2+z
